ts,idx0_temp,idx0_power,idx1_temp,idx1_power
18:16:27,26,27.27,25,33.14
18:16:32,26,27.40,25,33.27
18:16:37,26,27.39,25,33.19
18:16:43,26,27.27,25,33.16
18:16:48,26,27.35,25,33.30
18:16:53,26,27.37,25,33.31
18:16:58,26,27.23,25,33.38
18:17:04,26,27.53,25,33.25
18:17:09,26,27.55,25,33.23
18:17:14,26,27.43,25,33.09
18:17:20,26,27.47,25,33.09
18:17:25,26,27.41,25,32.93
18:17:30,32,112.69,32,121.21
18:17:35,35,127.30,34,131.53
18:17:41,34,111.91,33,119.21
18:17:46,34,111.92,33,119.27
18:17:51,34,111.67,34,119.28
18:17:57,35,111.81,34,119.43
18:18:02,35,111.97,34,119.43
18:18:07,36,113.12,35,121.21
18:18:12,36,111.92,35,119.38
18:18:18,35,111.70,34,119.28
18:18:23,35,111.85,35,119.50
18:18:28,43,179.66,44,215.10
18:18:33,36,112.64,35,119.86
18:18:39,36,112.42,35,119.65
18:18:44,36,112.58,35,119.83
18:18:49,29,27.98,28,33.03
18:18:55,36,114.04,35,122.61
18:19:00,36,119.66,35,128.20
18:19:05,36,112.35,35,119.62
18:19:10,37,119.70,37,141.43
18:19:16,38,113.11,38,127.48
18:19:21,37,118.96,36,126.70
18:19:26,37,112.86,36,119.82
18:19:31,37,117.54,36,124.79
18:19:37,37,112.55,36,119.84
18:19:42,38,120.19,37,124.91
18:19:47,37,112.93,36,119.95
18:19:52,38,115.54,37,123.51
18:19:58,39,140.62,38,152.96
18:20:03,38,114.97,38,124.39
18:20:08,39,127.33,37,119.86
18:20:14,38,112.86,37,120.06
18:20:19,38,112.85,37,119.82
18:20:24,35,105.98,32,104.56
18:20:29,30,27.60,29,32.86
18:20:35,29,27.69,28,32.61
18:20:40,54,201.65,50,208.39
18:20:45,72,400.07,62,354.70
18:20:51,71,367.06,65,355.81
18:20:56,54,248.33,51,247.78
18:21:01,72,335.88,72,364.20
18:21:06,72,325.91,70,336.43
18:21:12,72,325.61,73,348.66
18:21:17,73,326.39,73,346.69
18:21:22,71,327.11,70,351.32
18:21:27,70,329.34,70,350.95
18:21:33,70,317.55,70,342.01
18:21:38,70,324.44,70,344.30
18:21:43,71,324.32,71,343.56
18:21:49,74,299.13,69,300.27
18:21:54,70,312.51,71,338.54
18:21:59,71,337.31,71,357.82
18:22:04,70,310.37,70,327.14
18:22:10,67,291.75,69,321.42
18:22:15,69,302.51,71,321.53
18:22:20,70,305.56,69,326.22
18:22:25,70,297.69,69,327.52
18:22:31,66,284.96,67,285.89
18:22:36,48,115.56,46,121.22
18:22:41,45,121.65,43,127.76
18:22:47,35,27.82,34,32.90
18:22:52,34,27.92,33,32.76
18:22:57,33,27.76,32,32.66
18:23:02,33,27.69,32,32.61
18:23:08,32,27.62,32,32.62
18:23:13,32,27.59,31,32.54
18:23:18,32,27.56,31,32.60
