# Workloads with a PVC on storage01 (zfs-nvmeof, zfs-nfs, nfs-lake). Generated 2026-09-09.
# kind namespace name
# Order matters on the way down: operator before its StatefulSet, apps before their databases.
deployment kube-prometheus-stack prometheus-operator
statefulset kube-prometheus-stack prometheus-prometheus
deployment kube-prometheus-stack prometheus-grafana
statefulset loki loki-write
statefulset loki loki-backend
deployment loki loki-read
statefulset loki loki-minio
deployment harbor harbor-core
deployment harbor harbor-jobservice
deployment harbor harbor-registry
statefulset harbor harbor-trivy
statefulset harbor harbor-redis
statefulset harbor harbor-database
statefulset home-assistant home-assistant
statefulset open-webui open-webui
statefulset craftycontroller craftycontroller
statefulset minecraft-crucible minecraft-crucible-craftycontroller
statefulset minecraft-derailed minecraft-derailed-craftycontroller
statefulset minecraft-jinkies minecraft-jinkies-craftycontroller
statefulset minecraft-underground minecraft-underground-craftycontroller
statefulset minecraft-novacraft minecraft-novacraft-craftycontroller
statefulset minecraft-poke-central minecraft-poke-central-craftycontroller
statefulset minecraft-test minecraft-test-craftycontroller
deployment minecraft-paper bluemap
deployment minecraft-paper bluemap-config
statefulset minecraft-paper minecraft-server
deployment democratic-csi-zfs-nfs example-rwx-deployment
statefulset plex plex-plex
statefulset plex plex-plex-config
statefulset plex plex-tautulli
statefulset plex plex-overseerr
statefulset plex plex-maintainerr
statefulset plex plex-radarr
statefulset plex plex-sonarr
statefulset plex plex-sonarr-alt
statefulset plex plex-bazarr
statefulset plex bazarr-postgres
statefulset plex plex-prowlarr
statefulset plex plex-jackett
statefulset plex plex-jackettfeed
statefulset plex plex-qbittorrent
statefulset plex plex-qbittorrent-alt
statefulset plex plex-sabnzbd
statefulset plex plex-bookshelf
statefulset plex plex-calibre-web
statefulset plex plex-shelfmark
statefulset plex plex-rreading-glasses
statefulset plex rreading-glasses-db
